Book Id;Title;Author;Author l-f;Additional Authors;ISBN;ISBN13;My Rating;Average Rating;Publisher;Binding;Number of Pages;Year Published;Original Publication Year;Date Read;Date Added;Bookshelves;Bookshelves with positions;Exclusive Shelf;My Review;Spoiler;Private Notes;Read Count;Owned Copies;Time
197425473;Prawdziwie, do szaleństwa. Dzienniki;Alan Rickman;Rickman, Alan;Emma Thompson, Maria Jaszczurowska;8367815742;9788367815741;4;3.58;Wydawnictwo Poznańskie;Paperback;656;2023;2022;2025/07/23;2024/02/09;;;read;;;;1;0;531
221706071;Quicksilver (Fae & Alchemy, #1);Callie Hart;Hart, Callie;;1399745417;9781399745413;4;4.33;Hodderscape;Hardcover;624;2024;2024;2025/07/16;2025/03/31;;;read;;;;1;0;6
222139748;Brimstone (Fae & Alchemy, #2);Callie Hart;Hart, Callie;;1538774224;9781538774229;0;4.16;Forever;Hardcover;672;2025;2025;;2025/07/14;to-read;to-read (#23);to-read;;;;0;0;
222742509;Skyshade (Lightlark, #3);Alex Aster;Aster, Alex;Zuzanna Byczek;8382665241;9788382665246;5;3.66;Jaguar;Paperback;432;2025;2024;2025/07/10;2025/01/28;;;read;;;;1;0;2
205821958;Nightbane (Lightlark, #2);Alex Aster;Aster, Alex;Zuzanna Byczek;838266301X;9788382663013;5;4.08;Jaguar;Paperback;480;2024;2023;2025/07/09;2025/01/28;;;read;;;;1;0;2
231246117;Bezwzględna (Bezsilna, #3);Lauren  Roberts;Roberts, Lauren;Natalia Gawrońska;8383877625;9788383877624;5;4.07;Uroboros;Paperback;640;2025;2025;2025/07/08;2025/01/09;;;read;;;;1;0;3
207003754;Lightlark (Lightlark, #1);Alex Aster;Aster, Alex;;141977879X;9781419778797;5;3.84;Harry N. Abrams;Hardcover;432;2024;2022;2025/07/05;2025/01/28;;;read;;;;1;0;3
227362124;Kiedy wykluł się księżyc (Spadające księżyce, #1);Sarah A. Parker;Parker, Sarah A.;Piotr Kucharski;8383875258;9788383875255;4;3.99;Uroboros;Hardcover;704;2025;2024;2025/07/02;2025/05/17;;;read;;;;1;0;7
230371958;Mój następny oddech;Jeremy Renner;Renner, Jeremy;Małgorzata Hesko-Kołodzińska, Piotr Budkiewicz;8368242320;9788368242324;5;4.20;Media Rodzina;Hardcover;264;2025;2025;2025/06/25;2025/05/17;;;read;;;;1;0;1
207298440;All Better Now;Neal Shusterman;Shusterman, Neal;;1534432752;9781534432758;0;3.64;Simon & Schuster Books for Young Readers;Hardcover;528;2025;2025;;2025/05/26;to-read;to-read (#22);to-read;;;;0;0;
10429045;Shatter Me (Shatter Me, #1);Tahereh Mafi;Mafi, Tahereh;;62085484;9780062085481;0;3.84;Harper;Hardcover;338;2011;2011;;2025/05/26;to-read;to-read (#21);to-read;;;;0;0;
229278890;Undivived (Podzieleni, #4);Neal Shusterman;Shusterman, Neal;Katarzyna Agnieszka Dyrek;8383876890;9788383876894;0;4.46;Uroboros;Hardcover;480;2025;2014;;2025/05/20;to-read;to-read (#20);to-read;;;;0;0;
228236115;Unsouled (Podzieleni, #3);Neal Shusterman;Shusterman, Neal;Katarzyna Agnieszka Dyrek;8383874545;9788383874548;0;4.22;Uroboros;Hardcover;496;2025;2013;;2025/05/20;to-read;to-read (#19);to-read;;;;0;0;
50623864;The Invisible Life of Addie LaRue;V.E. Schwab;Schwab, V.E.;Victoria Schwab;765387565;9780765387561;0;4.17;Tor Books;Hardcover;448;2020;2020;;2025/05/20;to-read;to-read (#18);to-read;;;;0;0;
36329818;Legendary (Caraval, #2);Stephanie Garber;Garber, Stephanie;;125009531X;9781250095312;0;4.10;Flatiron Books;Hardcover;451;2018;2018;;2025/01/28;currently-reading;currently-reading (#3);currently-reading;;;;1;0;
60868126;Caraval (Caraval, #1);Stephanie Garber;Garber, Stephanie;Mateusz Borowski;8367195191;9788367195195;4;3.97;Poradnia K;Paperback;368;2022;2016;2025/04/19;2025/01/14;;;read;;;;1;0;1
223688754;Wschód słońca w dniu dożynek (Igrzyska śmierci, #0.5);Suzanne Collins;Collins, Suzanne;Małgorzata Hesko-Kołodzińska, Piotr Budkiewicz;8368242010;9788368242010;0;4.51;Must Read;Paperback;404;2025;2025;2025/04/18;2025/01/14;;;read;;;;1;0;7
197363933;The Games Gods Play (The Crucible, #1);Abigail Owen;Owen, Abigail;;1649376561;9781649376565;0;4.14;Entangled: Red Tower Books;Hardcover;509;2024;2024;;2025/04/15;to-read;to-read (#17);to-read;;;;0;0;
224123811;Onyx Storm. Onyksowa burza (Empireum, #3);Rebecca Yarros;Yarros, Rebecca;Sylwia Chojnacka;8383579764;9788383579764;4;4.21;Filia;Hardcover;608;2025;2025;2025/03/31;2024/12/10;;;read;;;;1;0;17
140509570;Przysięga złodziei (Taniec złodziei, #2);Mary E. Pearson;Pearson, Mary E.;Sylwia Chojnacka;8382806872;9788382806878;0;4.30;Filia;Paperback;576;2023;2019;;2025/03/05;to-read;to-read (#16);to-read;;;;0;0;
62214961;Taniec złodziei (Taniec złodziei, #1);Mary E. Pearson;Pearson, Mary E.;Sylwia Chojnacka;8382802966;9788382802962;0;4.10;Filia;Paperback;584;2022;2018;;2025/03/04;to-read;to-read (#15);to-read;;;;0;0;
23451266;Pomnik cesarzowej Achai. Tom IV (Pomnik cesarzowej Achai, #4);Andrzej Ziemiański;Ziemiański, Andrzej;;8379640233;9788379640232;0;3.94;Fabryka Słów;Paperback;768;2014;2014;;2024/04/25;currently-reading;currently-reading (#2);currently-reading;;;;1;0;
220829767;Ona (Virion. Legenda Miecza #2);Andrzej Ziemiański;Ziemiański, Andrzej;;8383750374;9788383750378;0;4.40;Fabryka Słów;Paperback;480;2025;2025;;2025/02/27;to-read;to-read (#14);to-read;;;;0;0;
205560093;Unwind (Podzieleni, #1);Neal Shusterman;Shusterman, Neal;Katarzyna Agnieszka Dyrek;8383194765;9788383194769;0;4.17;Uroboros;Hardcover;432;2024;2007;2025/02/26;2024/05/27;;;read;;;;1;0;
28423811;Szklany miecz (Czerwona Królowa, #2);Victoria Aveyard;Aveyard, Victoria;Adriana Sokołowska-Ostapko;8375153788;9788375153781;0;3.78;Moondrive;Paperback;560;2016;2016;;2025/02/22;to-read;to-read (#13);to-read;;;;0;0;
24908588;Czerwona Królowa (Czerwona Królowa, #1);Victoria Aveyard;Aveyard, Victoria;Adriana Sokołowska-Ostapko;837515332X;9788375153323;0;3.98;Otwarte;Paperback;440;2015;2015;;2025/02/22;to-read;to-read (#12);to-read;;;;0;0;
219613599;Beztroska (Bezsilna, #2);Lauren  Roberts;Roberts, Lauren;Natalia Gawrońska;8383871813;9788383871813;4;4.07;Uroboros;Paperback;432;2024;2024;2025/02/13;2024/12/10;;;read;;;;1;0;2
218527185;Gwiazdka. Opowieści ilustrowane;Louisa May Alcott;Alcott, Louisa May;Joanna Wadas;8382410758;9788382410754;4;3.13;MG;Hardcover;400;2024;;2025/02/12;2025/01/07;;;read;;;;1;0;1
203578793;Spectacular (Caraval, #3.5);Stephanie Garber;Garber, Stephanie;Rosie Fowinkle;1250893402;9781250893406;0;3.65;Flatiron Books;Hardcover;207;2024;2024;;2025/01/28;to-read;to-read (#11);to-read;;;;0;0;
40381392;Finale (Caraval, #3);Stephanie Garber;Garber, Stephanie;;1250157668;9781250157669;0;4.13;Flatiron Books;Hardcover;478;2019;2019;;2025/01/28;to-read;to-read (#10);to-read;;;;0;0;
216635092;Glorious Rivals (The Grandest Game, #2);Jennifer Lynn Barnes;Barnes, Jennifer Lynn;;316481319;9780316481311;0;4.09;Little, Brown Books for Young Readers;Hardcover;432;2025;2025;;2025/01/28;to-read;to-read (#9);to-read;;;;0;0;
197392670;The Grandest Game (The Grandest Game, #1);Jennifer Lynn Barnes;Barnes, Jennifer Lynn;;316481017;9780316481014;0;3.94;Little, Brown Books for Young Readers;Hardcover;384;2024;2024;;2025/01/28;to-read;to-read (#8);to-read;;;;0;0;
205331828;Iron Flame. Żelazny płomień (Empireum, #2);Rebecca Yarros;Yarros, Rebecca;Sylwia Chojnacka;8383573057;9788383573052;4;4.36;Filia;Hardcover;704;2024;2023;2025/01/24;2024/12/10;;;read;;;;1;0;2
36692308;The Ragpicker King (The Chronicles of Castellane, #2);Cassandra Clare;Clare, Cassandra;;1529001447;9781529001440;0;4.38;Tor;Paperback;557;2025;2025;;2025/01/23;to-read;to-read (#7);to-read;;;;0;0;
36679274;Sword Catcher (The Chronicles of Castellane, #1);Cassandra Clare;Clare, Cassandra;;525619992;9780525619994;0;3.82;Del Rey Books;Hardcover;624;2023;2023;;2025/01/14;to-read;to-read (#6);to-read;;;;0;0;
10834746;Pomnik cesarzowej Achai. Tom III (Pomnik cesarzowej Achai, #3);Andrzej Ziemiański;Ziemiański, Andrzej;;8375749176;9788375749175;3;3.92;Fabryka Słów;Paperback;793;2014;2014;2025/01/14;2024/04/25;;;read;;;;1;0;79
